paradigm,subject,fold,permute_k,split,calib_size,seed,n_half_a,n_half_b,baseline_a,baseline_b,adapted_b,delta_b
mi,99,version_27,4,stratified,10,42,112,112,0.7027300303336704,0.6390293225480284,0.42601954836535216,-0.2130097741826762
mi,99,version_27,4,stratified,10,43,112,112,0.6444219750589821,0.6744186046511628,0.6302662622177283,-0.044152342433434466
mi,99,version_27,4,stratified,10,44,112,112,0.6811594202898551,0.6656555443208628,0.5820694304010785,-0.08358611391978432
mi,99,version_27,4,stratified,10,45,112,112,0.6996966632962588,0.5999325918436131,0.6289180990899899,0.02898550724637672
mi,99,version_27,4,stratified,10,46,112,112,0.7317155375800473,0.6049882035726324,0.6521739130434783,0.04718570947084588
mi,99,version_27,4,stratified,50,42,92,92,0.7063492063492063,0.668671679197995,0.5729323308270677,-0.09573934837092724
mi,99,version_27,4,stratified,50,43,92,92,0.6086309523809523,0.6461152882205513,0.5924812030075188,-0.05363408521303248
mi,99,version_27,4,stratified,50,44,92,92,0.7103174603174602,0.6521303258145363,0.6040100250626566,-0.048120300751879785
mi,99,version_27,4,stratified,50,45,92,92,0.6433531746031746,0.6947368421052632,0.5989974937343359,-0.09573934837092735
mi,99,version_27,4,stratified,50,46,92,92,0.7455357142857143,0.6596491228070176,0.5358395989974937,-0.12380952380952392
mi,99,version_27,4,stratified,100,42,67,67,0.6360225140712945,0.6801125703564728,0.7063789868667918,0.026266416510319024
mi,99,version_27,4,stratified,100,43,67,67,0.6341463414634145,0.6454033771106942,0.6660412757973734,0.0206378986866792
mi,99,version_27,4,stratified,100,44,67,67,0.6735459662288931,0.6529080675422139,0.6369606003752346,-0.015947467166979257
mi,99,version_27,4,stratified,100,45,67,67,0.6951219512195121,0.6313320825515947,0.5581613508442776,-0.07317073170731703
mi,99,version_27,4,stratified,100,46,67,67,0.648217636022514,0.8386491557223265,0.6350844277673545,-0.20356472795497194
